municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
南木曽町,第11弾,2019/12/14,妻籠観光案内所,長野県木曽郡南木曽町吾妻2196-1,電話：0264-57-3123,9：00～16：00,137.60396 : 35.56511,,,,
大桑村,第14弾,2021/4/25,大桑村役場,長野県木曽郡大桑村大字長野880-1,電話：0264-55-3080,8:30～17:15（年中無休）,137.76695 : 35.69608,,,,
朝日村,第9弾,2018/12/14,朝日村役場,長野県東筑摩郡朝日村大字古見1555-1,電話：0263-99-2001【平日】建設環境課窓口【土日祝】休日通用門（建物裏側）,【平日】8：30～17：15【土日祝】8：30～17：15,137.80339 : 36.10241,,,,
筑北村,第18弾,2023/1/28,【火曜日以外】西条温泉とくら【火曜日】筑北村役場建設課上下水道係,【火曜日以外】長野県東筑摩郡筑北村西条3443番地【火曜日】長野県東筑摩郡筑北村西条4195番地,【火曜日以外】電話：0263-66-2114【火曜日】0263-66-2111（代表）,【火曜日以外】10：00～20：30ただし、令和5年2月22日は休業のため、お休みです【火】8：30～17：15,137.99475 : 36.40327,137.99475 : 36.40327,,,
小布施町,第22弾,2024/4/26,【平日】小布施町役場建設水道課上下水道係窓口【休日】小布施町役場宿日直室,【平日】長野県上高井郡小布施町大字小布施1491-2【休日】長野県上高井郡小布施町大字小布施1491-2,【平日】電話:026-214-9106【休日】記載無し,8：30～17：15,138.31357 : 36.69767,138.31357 : 36.69767,,,
大垣市,第8弾,2018/8/11,奥の細道むすびの地記念館,岐阜県大垣市船町2-26-1,電話：0584-84-8430（問い合わせ先）大垣市水道部下水道課電話：0584-47-8459,9：00～17：00,136.61206 : 35.35611,,,,
高山市(A001),第09弾,2018/12/14,【平日】高山市役所　水道部下水道課（2階）【休日】高山市役所当直室,岐阜県高山市花岡町2丁目18番地,電話：0577-35-3150【休日】電話：0577-32-3333,8：30～17：15,137.25197 : 36.14604,,,,
高山市(B001),第11弾,2019/12/14,奥飛騨温泉郷観光案内所（新穂高センター内）,岐阜県高山市奥飛騨温泉郷神坂710番地9,電話：0578-89-2458,【4月～10月】　10：00～17：00【11月～3月】　10：00～16：00,137.60228 : 36.30419,,,,
高山市(C001),第13弾,2020/12/17,高山市国府支所,岐阜県高山市国府町広瀬町880番地1,電話：0577-72-3111,8：30～17：15,137.21498 : 36.21123,,,,
高山市(D001),第14弾,2021/4/25,高山市荘川支所,岐阜県高山市荘川町新渕430番地1,電話:05769-2-2211,8：30～17:15,136.96324 : 36.0321,,,,
高山市(E001),第15弾,2021/8/17,高山市一之宮支所,岐阜県高山市一之宮町3100番地,電話：0577-53-2211,8：30～17：15,137.20126 : 36.0524,,,,
高山市(F001),第17弾,2022/8/6,【平日】高山市役所久々野支所基盤産業課窓口【休日】高山市役所久々野支所当直室窓口,岐阜県高山市久々野町無数河580番地1,電話：0577-52-3111,8：30～17：15,137.25122 : 36.04424,,,,
高山市(G001),第18弾,2023/1/28,【通常】道の駅ひだ朝日村【上記の休業日】高山市朝日支所基盤産業課窓口,【通常】岐阜県高山市朝日町万石150番地【上記の休業日】岐阜県高山市朝日町万石800番地,【通常】電話：0577-55-3777【上記の休業日】電話：0577-55-3311(問合せ先)高山市朝日支所電話：0577-55-3311,【通常】10：00～16：00ただし、水曜日（祝祭日は翌日）はお休みです【上記の休業日】8:30～17：15道の駅ひだ朝日村の休業日に配布します,137.34854 : 36.07484,137.34854 : 36.07484,,,
高山市(H001),第20弾,2023/7/28,高山市丹生川支所,岐阜県高山市丹生川町坊方2000番地,電話:0577－78ー1111,8:30～17:15,137.31006 : 36.17046,,,,
高山市(I001),第22弾,2024/4/26,【平日】高山市清見支所基盤産業課窓口【休日】高山市清見支所当直室窓口,岐阜県高山市清見町三日町305番地,電話:0577-68-2211,8:30～17:15,137.19101 : 36.12234,,,,
関市,第8弾,2018/8/11,【平日】関市役所基盤整備部 下水道課【休日】関市役所北庁舎 守衛室,岐阜県関市若草通3-1,電話：0575-23-7708,8：30～17：15,136.91789 : 35.49541,,,,
中津川市,第5弾,2017/8/1,中津川市観光センター・にぎわい特産館,岐阜県中津川市栄町1-1,電話：0573-62-2277,8：30～18：00ただし、年末年始（12/29～1/3）はお休みです,137.50394 : 35.50116,,,,
恵那市(A001),第21弾,2023/12/15,恵那市観光物産館　観光案内所,岐阜県恵那市大井町286番地25,電話:0573-25-4058,9：00～18：00ただし、12/29～1/4はお休みです,137.40906 : 35.45643,,,,
恵那市(B001),第24弾,2024/12/20,いわむら街並みふれあいの館（岩村町観光協会）,岐阜県恵那市岩村町263番地2,電話:0573-43-3231,9：00～16：00ただし、年末年始（12月28日～1月4日）はお休みです,137.43925 : 35.36018,,,,
美濃加茂市,第8弾,2018/8/11,【平日】美濃加茂市あじさいパーク 蜂屋川クリーンセンター【休日】みのかも観光案内所,【平日】岐阜県美濃加茂市加茂野町鷹之巣2158-2【休日】岐阜県美濃加茂市太田町立石2484 美濃太田駅南口1F,【平日】電話：0574-28-4743【休日】電話：0574-28-7717（問い合わせ先）美濃加茂市建設水道部 上下水道課電話：0574-28-1143,【平日】9：00～17：00【休日】9：00～16：00ただし、年末年始（12/29～1/3）はお休みです,136.96715 : 35.47198,137.01617 : 35.44511,,,
各務原市,第19弾,2023/4/28,岐阜かかみがはら航空宇宙博物館,岐阜県各務原市下切町5丁目1,電話:058-386-8500（問い合わせ先）各務原市観光交流課電話：058-383-9925,10:00～17:00ただし、毎月第１火曜日（８月は開館）と年末年始（12/28～1/2）はお休みですその他、メンテナンスや気象条件により臨時休館する場合があります,136.86028 : 35.38734,,,,
瑞穂市,第2弾,2016/8/1,【平日】瑞穂市役所 巣南庁舎 下水道課【土日祝日】瑞穂市民センター 1階,【平日】岐阜県瑞穂市宮田300-2【土日祝日】岐阜県瑞穂市別府1300-3,【平日】電話：058-327-2114【土日祝日】電話：058-327-8448,【平日】8：30～17：15ただし、年末年始（12/29～1/3）はお休みです。【土日祝日】9：00～21：00ただし、年末年始（12/29～1/3）はお休みです。,136.64514 : 35.40501,136.68996 : 35.39176,,,
飛騨市（A001）,第09弾,2018/12/14,飛騨古川まつり会館,岐阜県飛騨市古川町壱之町14番5号,電話：0577-73-3511(問い合わせ先)飛騨市役所商工観光部観光課電話：0577-73-7463（平日のみ）,9：00～17：00(12月～3月は9:00～16:30)年中無休,137.18542 : 36.237,,,,
飛騨市（B001）,第10弾,2019/8/7,道の駅スカイドーム神岡,岐阜県飛騨市神岡町夕陽ヶ丘6,電話:0578-82-6777（問い合わせ先）神岡振興事務所市民振興課電話:0578-82-2253,9:00～17:00ただし、水曜日及び年末年始はお休みです,137.30708 : 36.3288,,,,
郡上市（A001）,第05弾,2017/8/1,郡上八幡駅 観光案内所,岐阜県郡上市八幡町城南188-54,電話：0575-67-9039(問い合わせ先) 郡上市役所環境水道部水道総務課 電話:0575-67-1129,9:00～17:00ただし、年末年始（12/29～1/3）はお休みです,136.94916 : 35.74332,,,,
郡上市（B001）,第10弾,2019/8/7,道の駅古今伝授の里やまと,岐阜県郡上市大和町剣１６４番地,電話:0575-88-2525（問い合わせ先）郡上市役所環境水道部水道総務課電話:0575-67-1129,9:00～18:00ただし、毎週火曜日(祝日の場合は翌平日) 及び12月31日と1月1日はお休みです,136.89177 : 35.83135,,,,
郡上市(C001),第13弾,2020/12/17,郡上八幡旧庁舎記念館,岐阜県郡上市八幡町島谷520-1,（問合せ先）郡上市役所環境水道部水道総務課電話：0575-67-1129,8:30～17:00ただし、12月29日～1月3日はお休みです※イベント開催・設備点検等で臨時休館となる場合があります,136.96022 : 35.75013,,,,
郡上市(D001),第24弾,2024/12/20,道の駅 美並物産館,岐阜県郡上市美並町上田2605,電話:.0575-79-3886,8:00～17:00※季節･天候により予告なく時間を変更する場合がありますただし、12月31日･1月1 日はお休みです,136.92686 : 35.62845,,,,
海津市,第21弾,2023/12/15,【平日】海津市役所上下水道課【土日祝日】岐阜県さぼう遊学館,【平日】岐阜県海津市海津町高須515番地【土日祝日】岐阜県海津市南濃町奥条無番地,【平日】電話:0584-53-1429【土日祝日】電話:0584-55-1110,【平日】8：30～17：15ただし、年末年始はお休みです【土日祝日】9：00～17：00ただし、休館日、年末年始はお休みです,136.63695 : 35.21983,136.58424 : 35.20499,,,
垂井町,第11弾,2019/12/14,【平日】垂井町役場上下水道課1【休日】垂井町役場宿日直室,岐阜県不破郡垂井町宮代2957-11,電話：0584-22-1151,終日,136.53729 : 35.36707,,,,
池田町（A001）,第1弾,2016/4/1,池田町役場 水道部 水道課,岐阜県揖斐郡池田町六之井1468-1,電話：0585-45-3111,8：30～17：15（年中無休）ただし、土日、祝日、年末年始に配布希望の方は、平日（8：30～17：15）に要予約,136.57378 : 35.44201,,,,
池田町（B001）,第2弾,2016/8/1,池田町役場 水道部 水道課,岐阜県揖斐郡池田町六之井1468-1,電話：0585-45-3111,8：30～17：15（年中無休）ただし、土日、祝日、年末年始に配布希望の方は、平日（8：30～17：15）に要予約,136.57378 : 35.44201,,,,
静岡市（A001）,第4弾,2017/4/3,【平日】静岡市上下水道局庁舎【休日】静岡市上下水道局庁舎１階 守衛室,【平日】静岡県静岡市葵区七間町15-1（上下水道局庁舎6階　上下水道経営企画課）【休日】静岡県静岡市葵区七間町15-1（守衛室）,【休日】守衛室電話：054-270-9119,8：30～17：15,138.37979 : 34.97234,138.37979 : 34.97234,,,
静岡市（B001）,第9弾,2018/12/14,清水駅前観光案内所（ＪＲ清水駅前）,静岡県静岡市清水区辻1丁目1-3-103　アトラス清水駅前1階,電話：054-367-9613(問い合わせ先)静岡市上下水道局経営管理部上下水道経営企画課電話：054-270-9119,9:00～13:00、14:00〜17:45ただし、年末年始（12/29～1/3）はお休みです,138.48839 : 35.02431,,,,
浜松市(A001),第04弾,2017/4/3,浜松市観光インフォメーションセンター,静岡県浜松市中区砂山町265-13（JR浜松駅構内）,電話：053-452-1634,9：00～19：00（年中無休）,137.72612 : 34.71087,,,,
浜松市(B001),第21弾,2023/12/15,犀ヶ崖資料館,静岡県浜松市中区鹿谷町25-10,電話:053-472-8383（問合せ先）浜松市役所上下水道部下水道工事課電話:053-474-7524,9：00～17：00ただし、月曜日（国民の祝日の場合はその翌日）及び国民の祝日の翌日、年末年始（12月29日～1月3日）はお休みです,137.72612 : 34.71087,,,,
沼津市(A001),第5弾,2017/8/1,【平日】沼津市役所 水道部 水道総務課【休日】沼津市役所 水道部庁舎 守衛室,静岡県沼津市御幸町16-1（水道部庁舎2階）,電話：055-934-4862,【平日】8：30～17：15上記以外の日時は、守衛室にて配布しますただし、年末年始はお休みです,138.8636 : 35.09556,,,,
沼津市(B001),第11弾,2019/12/14,沼津観光案内所,静岡県沼津市大手町1-1-1　沼津駅ビルアントレ２階,(問合せ先)沼津市水道部水道総務課電話：055-934-4862,10:00～18:00年中無休,138.86134 : 35.10342,,,,
熱海市（A001）,第8弾,2018/8/11,【平日】熱海市役所 下水道課【休日】熱海市役所 警備員室,静岡県熱海市中央町1-1（第2庁舎2階）,電話：0557-86-6526,8：30～17：15,139.07149 : 35.09624,,,,
熱海市（B001）,第9弾,2018/12/14,熱海市観光協会（ワカガエルステーション）,静岡県熱海市渚町2018-8親水公園レインボーデッキ内（初川寄り）,電話：0557-85-2222(問い合わせ先)熱海市役所公営企業部下水道課電話：0557-86-6526,9：00～17：00※年末年始は営業時間が異なりますのでご注意ください,139.07455 : 35.09432,,,,
三島市,第11弾,2019/12/14,三島観光案内所,静岡県三島市一番町16-1,（問い合わせ先）三島市都市基盤部下水道課電話：055-983-2662,9:00～17:00,138.91196 : 35.12656,,,,
富士宮市(A001),第12弾,2020/4/25,【平日】富士宮市役所下水道課【休日】富士宮市役所 1階東側 当直室,静岡県富士宮市弓沢町150,【平日】電話:0544-22-1174【休日】当直室電話:0544-22-1111,9:00～17:00ただし、年末年始（12/29～1/3）はお休みです,138.62112 : 35.22124,,,,
富士宮市(B001),第13弾,2020/12/17,富士宮駅前観光案内所,静岡県富士宮市中央町16番1号,（問合せ先）富士宮市役所　下水道課電話：0544-22-1174,【平日】9:00～17:00【休日】10:00～16:00ただし、年末年始（12/28～1/5）はお休みです,138.61371 : 35.22148,,,,
富士宮市(C001),第14弾,2021/4/25,寄って宮,静岡県富士宮市宮町1-1,電話:0544-29-7223※臨時休業時は富士宮市役所で臨時配布します。(問合せ先)富士宮市役所下水道課電話：0544-22-1174,10：00～15:00ただし、年末年始（12/27～1/5）はお休みです,138.61052 : 35.22545,,,,
伊東市,第11弾,2019/12/14,【通常】伊東温泉観光・文化施設「東海館」【東海館 休館日】伊東市観光案内所（伊東駅構内）,【通常】静岡県伊東市東松原町12-100557-36-2004【東海館 休館日】静岡県伊東市湯川3-12-10557-37-6105,(問合せ先)伊東市役所下水道課電話：0557-32-1821,9:00～20:30ただし、毎月第3火曜日（祝祭日の場合は翌日）はお休みです【東海館 休館日】9:00～17:00,139.09714 : 34.97164,139.09222 : 34.97526,,,
富士市(A001),第1弾,2016/4/1,【平日】富士市役所 上下水道部 上下水道営業課【休日】富士市役所北口警備室,【平日】静岡県富士市本市場441-1(静岡県富士総合庁舎6階)【休日】静岡県富士市永田町1-100,【平日】電話：0545-67-2829【休日】電話：0545-51-0123,【平日】8：30～17：15【休日】9：00～16：00ただし、年末年始（12/29～1/3）はお休みです,138.66182 : 35.15673,138.67621 : 35.16121,,,
富士市(B001),第13弾,2020/12/17,【平日】岳南排水路管理組合総務課業務係【休日】富士市役所北口警備室,【平日】静岡県富士市今泉654-1【休日】静岡県富士市永田町1-100,【平日】電話：0545-51-2667【休日】電話：0545-51-0123（問合せ先）岳南排水路管理組合総務課業務係電話：0545-51-2667,【平日】8：30～17：15【休日】9：00～16：00ただし、年末年始（12/29～1/3）はお休みです,138.70296 : 35.1527,138.67621 : 35.16121,,,
磐田市,第7弾,2018/4/28,磐田市観光協会,静岡県磐田市中泉1-1-5（JR磐田駅北口）,電話：0538-33-1222（問い合わせ先）磐田市環境水道部 上下水道総務課電話：0538-58-3086,9：00～18：00ただし、毎週月曜日（月曜が祝日の場合はその翌日）、年末年始（12/29～1/・3）はお休みです,137.85327 : 34.71163,,,,
焼津市,第6弾,2017/12/9,焼津市観光協会,静岡県焼津市栄町1-2-14,電話：054-626-6266,8：30～17：15,138.31883 : 34.87143,,,,
掛川市,第11弾,2019/12/14,掛川城公園（掛川城券売所）,静岡県掛川市掛川1138番地の24,電話：0537-22-1146,9:00～16:30,138.01419 : 34.7752,,,,
藤枝市,第8弾,2018/8/11,藤枝市郷土博物館・文学館,静岡県藤枝市若王子500,電話：054-645-1100（問い合わせ先）藤枝市環境水道部下水道課 藤枝市浄化センター電話：054-644-8184,9：00～17：00（入館は16：30まで）ただし、月曜日、祝日の翌日、年末年始(12/28～1/4)はお休みです,138.25629 : 34.87621,,,,
御殿場市,第9弾,2018/12/14,御殿場市富士山交流センター富士山樹空の森,静岡県御殿場市印野1380-15,電話：0550-80-3776,9:00～17：00(12月～2月は9:00～16：00)ただし、火曜日（火曜日が祝日の場合は翌日）はお休みです,138.86806 : 35.29685,,,,
下田市,第20弾,2023/7/28,道の駅開国下田みなと（２Ｆ下田市観光協会事務局）,静岡県下田市外が岡1-1,電話:0558-22-1531,8:30～17:00,138.95105 : 34.67479,,,,
湖西市,第19弾,2023/4/28,新居関所史料館,静岡県湖西市新居町新居1227-5,電話:053-594-3615（問合せ先）湖西市役所　環境部　下水道課電話:053-574-2211,9：00～16：30ただし、毎週月曜日（祝日の場合は配布可能）と年末年始（12/26～1/2）はお休みです８月は無休です,137.56133 : 34.69477,,,,
伊豆の国市,第11弾,2019/12/14,伊豆の国市観光案内所,静岡県伊豆の国市南條780-3,(問合せ先)伊豆の国市下水道課055-948-2920,9:00～16:00,138.94763 : 35.03981,,,,
南伊豆町,第3弾,2016/12/1,南伊豆町観光協会,静岡県賀茂郡南伊豆町下賀茂157-1,電話：0558-62-0141,9：00～17：00（年中無休）,138.86621 : 34.65008,,,,
長泉町(A001),第08弾,2018/8/11,【平日】長泉町上下水道課【休日】長泉町日直室,静岡県駿東郡長泉町中土狩828,電話：055-989-5524,9：00～17：00,138.89674 : 35.13825,,,,
長泉町(B001),第24弾,2024/12/20,ウエルピアながいずみ健康づくりセンター,静岡県駿東郡長泉町納米里549,電話:055-989-5510（問合せ先）長泉町上下水道課電話:055-989-5524,9：00～17：00ただし、毎月第3月曜日・12月28日～1月4日はお休みです,138.89528 : 35.14133,,,,
小山町,第8弾,2018/8/11,小山町町観光協会(道の駅ふじおやま内),静岡県駿東郡小山町用沢72-2,電話：0550-76-5000,8：30～18：00,138.9501 : 35.34484,,,,
吉田町,第13弾,2020/12/17,しらすのまどぐち,静岡県榛原郡吉田町片岡2499番地の2,電話：0548-32-9285（問合せ先）吉田町役場　上下水道課電話：0548-33-1100,9:00～16:00ただし、月曜日（祝日の場合は翌日）と年末年始の12月28日～1月5日はお休みです,138.24759 : 34.77895,,,,
森町,第19弾,2023/4/28,【平日】森町役場上下水道課【土日祝日】森町役場（日直）,【平日】静岡県周智郡森町森2101-1【土日祝日】静岡県周智郡森町森2101-1,【平日】電話:0538-85-6327【土日祝日】電話:0538-85-2111,9:00～17:00ただし、年末年始はお休みです。詳しくは市のHPをご確認ください。,137.92592 : 34.83561,137.92592 : 34.83561,,,
愛知県（流域下水道）,第9弾,2018/12/14,愛知県下水道科学館,愛知県稲沢市平和町須ケ谷長田295-3,電話：0567-47-1551,9：30～17：00ただし、月曜日（月曜日が祝日の場合は翌日）、年末年始はお休みです,136.75365 : 35.23245,,,,
名古屋市（A001）,第1弾,2016/4/1,メタウォーター下水道科学館なごや（名古屋市下水道科学館）,愛知県名古屋市北区名城1-3-3,電話：052-911-2301,9：30～16：30ただし、月曜日（祝日の場合は翌平日）、年末年始はお休みですなお、駐車場はありません,136.90186 : 35.19161,,,,
名古屋市（B001）,第2弾,2016/8/1,水の歴史資料館,愛知県名古屋市千種区月が丘1-1-44,電話：052-723-3311,9:30～16:30ただし、月曜日（祝日の場合は翌平日）、年末年始（12/29～1/3）はお休みです※臨時休館日についてはHPをご確認ください,136.95723 : 35.1749,,,,
豊橋市（A001）,第2弾,2016/8/1,豊橋観光案内所,愛知県豊橋市花田町西宿無番地（豊橋駅構内）,電話：0532-33-9531,9：00～18：00ただし、1/1はお休みです,137.3815 : 34.76345,,,,
豊橋市（B001）,第2弾,2016/8/1,豊橋市役所 じょうほうひろば,愛知県豊橋市今橋町1（東館1階）,電話：0532-51-2037,【平日】8:30～17:00ただし、土日、祝日、年末年始はお休みです,137.39218 : 34.76978,,,,
豊橋市（C001）,第2弾,2016/8/1,こども未来館ここにこ,愛知県豊橋市松葉町3-1,電話：0532-21-5525,9：30～17：00ただし、水曜日（水曜日が祝日の場合は開館、翌平日が休館となります）、年末年始はお休みです,137.3838 : 34.76844,,,,
岡崎市(A001),第02弾,2016/8/1,三河武士のやかた家康館,愛知県岡崎市康生町561,電話：0564-24-2204,9：00～17：00（入館は16:30まで）ただし、年末（12/29～12/31）はお休みです,137.15926 : 34.95614,,,,
岡崎市(B001),第11弾,2019/12/14,岡崎市観光協会（籠田案内所）,愛知県岡崎市康生通東2丁目47番地,電話:0564-64-1637,9：00～17：00ただし、年末年始はお休みです,137.1657 : 34.9584,,,,
岡崎市(C001),第13弾,2020/12/17,道の駅藤川宿,愛知県岡崎市藤川町字東沖田44番地,電話：0564-66-6031,9：00〜18：00,137.21719 : 34.91439,,,,
岡崎市(D001),第14弾,2021/4/25,カクキュー八丁味噌の郷,愛知県岡崎市八帖町字往還通69,電話:0564-21-1355,9：00〜16：00ただし、年末年始はお休みです,137.15251 : 34.95758,,,,
岡崎市(E001),第15弾,2021/8/17,奥殿陣屋　書院内,愛知県岡崎市奥殿町雑谷下10番地,電話：0564-45-7230,9:30～16:30ただし、毎週月曜日（祝日の場合は翌日）、年末年始はお休みです,137.1945 : 35.02938,,,,
岡崎市(F001),第17弾,2022/8/6,まるや八丁味噌,愛知県岡崎市八帖町字往還通52,電話：【平日】0564-22-0222【休日】0564-22-0678,9：00～17：00ただし、年末年始はお休みです,137.15201 : 34.95655,,,,
岡崎市(G001),第21弾,2023/12/15,りぶら市民活動センター,愛知県岡崎市康生通西4丁目71番地岡崎市図書館交流プラザりぶら２階,電話:0564-23-3114（問合せ先）岡崎市上下水道局上下水道部下水道工事課電話:0564-23-6547,9：00～21：00（12：00～13：00、18：00～19：00は除く）ただし、毎週水曜日及び年末年始はお休みです,137.15919 : 34.95946,,,,
一宮市,第4弾,2017/4/3,一宮市立中央図書館（尾張一宮駅前ビル（i-ビル）6階）,愛知県一宮市栄3-1-2,電話:0586-72-2343,9:00〜21:00ただし、休館日は以下の通りです・第1、第3月曜日（祝休日の場合を除く）・祝休日の翌日（土・日・祝休日の場合を除く）・年末年始（12/29〜1/4）・その他臨時休館があります,136.79753 : 35.30264,,,,
瀬戸市(A001),第03弾,2016/12/1,瀬戸観光案内所,愛知県瀬戸市栄町45（パルティせと1階）,電話：0561-84-1997,10：00～17：00ただし、年末年始（12/28～1/4）はお休みです,137.09787 : 35.2253,,,,
瀬戸市(B001),第19弾,2023/4/28,新世紀工芸館,愛知県瀬戸市南仲之切町81-2,電話:0561-97-1001（問合せ先）瀬戸市都市整備部下水道課電話:0561-85-1173,10:00～18:00ただし、火曜日休館（祝日の場合は翌平日）、年末年始はお休みです※年6回程度館内清掃・点検のため午前中休館があります,137.10184 : 35.22465,,,,
半田市(A001),第09弾,2018/12/14,【平日】半田市役所水道部下水道課【休日】半田市役所時間外窓口,愛知県半田市東洋町二丁目1番地,電話：0569-84-0675,【平日】8:30～17:15(水曜日は8:30～19:15)休日は時間外窓口にて配布しますただし、年末年始はお休みです,136.93788 : 34.89209,,,,
半田市(B001),第11弾,2019/12/14,半田赤レンガ建物,愛知県半田市榎下町8番地,電話:0569-24-7031,9:00～17:00ただし、年末年始及び臨時休館日（3ヵ月月に1日程度）はお休みです,136.92851 : 34.90171,,,,
半田市(C001),第16弾,2022/1/15,クラシティ(1階),愛知県半田市広小路町155番地の3,電話：0569-47-9400,10：00～18：00ただし、年末年始（12月31日～1月3日）及び毎月第4水曜日（祝日の場合はその翌日）はお休みです,136.92699 : 34.89394,,,,
豊川市,第1弾,2016/4/1,豊川市観光案内所,愛知県豊川市旭町8,電話：0533-89-2411,10：00～15：00（年中無休）ただし、お盆、年末はお休みです,137.39456 : 34.82404,,,,
津島市,第17弾,2022/8/6,【平日】津島市水道お客さまセンター【休日】津島市観光交流センター,【平日】愛知県津島市立込町2丁目21番地【休日】愛知県津島市本町1丁目52番地1,【平日】電話：0567-55-9738【休日】電話：0567-25-2701,【平日】8：30～17：15【休日】9：00～17：00,136.74136 : 35.17706,136.72319 : 35.17876,,,
碧南市,第9弾,2018/12/14,【平日】碧南市役所下水道課【火曜日～日曜日、祝日】碧南市藤井達吉現代美術館,【平日】愛知県碧南市松本町28番地【火曜日～日曜日、祝日】愛知県音羽町1丁目1番地,【平日】電話：0566-41-3311【火曜日～日曜日、祝日】電話：0566-48-6602,【碧南市役所下水道課(平日)】8:30～17:15【碧南市藤井達吉現代美術館(火曜日～日曜日、祝日)】10:00～17:00ただし、年末年始はお休みです,136.99348 : 34.88484,137.30444 : 34.85855,,,
刈谷市,第14弾,2021/4/25,刈谷駅前観光案内所(刈谷市産業振興センター１階),愛知県刈谷市相生町1-1-6,電話:0566-45-5833(問合せ先)刈谷市役所水資源部下水道課電話:0566-62-1029,10:00～18:00ただし、毎月第2水曜日（祝日にあたる場合は翌日）及び年末年始（12月29日～翌1月3日）はお休みです,137.01053 : 34.99117,,,,
豊田市（A001）,第02弾,2016/8/1,三州足助屋敷,愛知県豊田市足助町飯盛36,電話：0565-62-1188,9：00～17：00ただし、毎週木曜日（祝日の場合はその翌日）、年末年始（12/22～1/2）はお休みです※4/29～5/5までの期間及び11月は無休で配布します,137.31821 : 35.13535,,,,
豊田市（B001）,第10弾,2019/8/7,コンテナ－ニシマチ6,愛知県豊田市西町6丁目81番地4,電話:0565-85-0226（問い合わせ先）豊田市下水道建設課電話：0565-34-6624,10:00～17:00ただし、毎週月曜日（祝日、振替休日の場合も）、年末年始及びお盆は休みです。,137.15482 : 35.08663,,,,
豊田市(C001),第23弾,2024/7/26,KiTARA グリーン棟2F 夢現屋,愛知県豊田市喜多町2丁目170番地　KiTARA グリーン棟2F 夢現屋,電話:0565-31-6977（問合せ先）豊田市下水道建設課電話:0565- 34-6624,10：30～16：30　(休憩時間11:30～12:30)ただし、1/1～1/3はお休みです。また、臨時休業の場合があります。,137.15747 : 35.08731,,,,
安城市(A001),第03弾,2016/12/1,安城市図書情報館,愛知県安城市御幸本町12-1（アンフォーレ内）,電話：0566-76-6111,【平日】9：00～20：00【休日】9：00～18：00ただし、毎週火曜日（休日除く）、毎月第4金曜日、年末年始はお休みです※その他特別図書整理期間など臨時休館あり,137.08383 : 34.95897,,,,
安城市(B001),第19弾,2023/4/28,安城市歴史博物館,愛知県安城市安城町城堀30番地,電話:0566-77-6655（問合せ先）安城市役所上下水道部下水道課経営係電話:0566-71-2247,9：00～17：00ただし、毎週月曜日（祝日を除く）、年末年始、臨時休館日はお休みです,137.09827 : 34.94557,,,,
西尾市,第20弾,2023/7/28,【平日】西尾市水道庁舎（３階）上下水道経営課【土日祝】西尾市役所　当直室,【平日】愛知県西尾市丁田町五助18番地【土日祝】愛知県西尾市寄住町下田22番地,【平日】電話:0563-65-2191【土日祝】電話:0563-56-2111,【平日】9：00～17：00【土日祝】9：00～17：00ただし、年末年始（12/29～1/3）はお休みです,137.06326 : 34.86179,137.06198 : 34.86209,,,
蒲郡市,第21弾,2023/12/15,海辺の文学記念館,愛知県蒲郡市竹島町15番62号,電話:0533-67-0070（問合せ先）蒲郡市役所上下水道部下水道課電話:0533-66-1140,9：00～17：00,137.23489 : 34.81548,,,,
犬山市,第9弾,2018/12/14,【平日】犬山市役所 本庁舎2階　下水道課【休日】犬山市役所 本庁舎1F宿直,愛知県犬山市大字犬山字東畑36番地,電話：【平日】0568-44-0337【休日】0568-61-1800,9:00～17:00,136.94415 : 35.37911,,,,
常滑市,第23弾,2024/7/26,登窯広場展示工房館,愛知県常滑市栄町６丁目145番地,電話:0569-35-0292,9:30～16：30ただし、水曜日（祝日の場合は営業）はお休みです,136.83989 : 34.88574,,,,
江南市,第12弾,2020/4/25,【平日】江南市下般若配水場２階下水道課【土日祝日】江南市下般若配水場1階　宿直室,愛知県江南市般若町中山146番地,電話：0587-54-1111,【平日】8:30～17：15【土日祝日】8:30～17：00ただし、年末年始はお休みです,136.88599 : 35.36557,,,,
小牧市,第13弾,2020/12/17,小牧駅前観光案内所,愛知県小牧市中央一丁目260番地,電話：0568-39-6123(問合せ先)小牧市役所上下水道経営課電話:0568-79-1305,9:00～17:00ただし、毎週木曜日と12/29〜1/３はお休みです,136.92799 : 35.28923,,,,
稲沢市,第5弾,2017/8/1,稲沢市役所 上下水道庁舎,愛知県稲沢市石橋六丁目82,電話：0587-21-4199,8:30～17:15ただし、土日、祝日、年末年始はお休みです,136.77757 : 35.2607,,,,
大府市,第10弾,2019/8/7,大府市健康にぎわいステーション　KURUTOおおぶ,愛知県大府市中央町三丁目278番地（JR大府駅構内）,電話：0562-51-4329（問い合わせ先）大府市役所下水道課電話：0569-45-6239,10:00～18:00ただし、毎月1日（1日が土・日・祝日の場合は翌平日）及び年末年始（12/29-1/3）はお休みです,136.9624 : 35.0094,,,,
知多市,第13弾,2020/12/17,梅の館（佐布里緑と花のふれあい公園内）,愛知県知多市佐布里台3丁目101,電話：0562-54-2911,9：00～17：00ただし、毎週月曜（祝日の場合は翌平日）、年末年始はお休みです,136.88846 : 34.96755,,,,
